Title,"HE student enrolments by CAH level 1 subject, sex, first year marker, level of study, mode of study and country of HE provider",,,,,,
Location,UK,,,,,,
Academic years,2019/20,,,,,,
Data source,HESA,,,,,,
Data collection,"051,054",,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-13,,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-13.csv,,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,,
Code page,Unicode UTF-8,,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,,
2019/20 total,2532385,,,,,,
,,,,,,,
Last updated,Jan-21,,,,,,
,,,,,,,
CAH level 1,First year marker,Level of study,Mode of study,Country of HE provider,Sex,Academic Year,Number
01 Medicine and dentistry,First year,Postgraduate (research),All,Wales,Male,2019/20,45
01 Medicine and dentistry,First year,Postgraduate (research),All,Wales,Other,2019/20,0
01 Medicine and dentistry,First year,Postgraduate (research),All,Wales,Total,2019/20,95
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,Wales,Female,2019/20,35
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,Wales,Male,2019/20,40
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,Wales,Other,2019/20,0
01 Medicine and dentistry,First year,Postgraduate (research),Full-time,Wales,Total,2019/20,70
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,Wales,Female,2019/20,20
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,Wales,Male,2019/20,5
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,Wales,Other,2019/20,0
01 Medicine and dentistry,First year,Postgraduate (research),Part-time,Wales,Total,2019/20,25
01 Medicine and dentistry,Other years,Postgraduate (research),All,All,Female,2019/20,3020
01 Medicine and dentistry,Other years,Postgraduate (research),All,All,Male,2019/20,2170
01 Medicine and dentistry,Other years,Postgraduate (research),All,All,Other,2019/20,40
01 Medicine and dentistry,Other years,Postgraduate (research),All,All,Total,2019/20,5225
01 Medicine and dentistry,Other years,Postgraduate (research),Full-time,All,Female,2019/20,2265
