Title,"HE qualifications obtained by CAH level 1 subject, sex, level of qualification, mode of study and country of HE provider",,,,,
Location,UK,,,,,
Academic years,2019/20,,,,,
Data source,HESA,,,,,
Data collection,"051,054",,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,
2019/20 total,800335,,,,,
,,,,,,
Last updated,Jan-21,,,,,
,,,,,,
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
01 Medicine and dentistry,First degree,All,All,Female,2019/20,6170
01 Medicine and dentistry,First degree,All,All,Male,2019/20,4260
01 Medicine and dentistry,First degree,All,All,Other,2019/20,10
01 Medicine and dentistry,First degree,All,All,Total,2019/20,10435
01 Medicine and dentistry,First degree,Full-time,All,Female,2019/20,6135
01 Medicine and dentistry,First degree,Full-time,All,Male,2019/20,4250
01 Medicine and dentistry,First degree,Full-time,All,Other,2019/20,10
01 Medicine and dentistry,First degree,Full-time,All,Total,2019/20,10390
01 Medicine and dentistry,First degree,Part-time,All,Female,2019/20,35
01 Medicine and dentistry,First degree,Part-time,All,Male,2019/20,10
01 Medicine and dentistry,First degree,Part-time,All,Other,2019/20,0
01 Medicine and dentistry,First degree,Part-time,All,Total,2019/20,45
01 Medicine and dentistry,First degree,All,England,Female,2019/20,4715
01 Medicine and dentistry,First degree,All,England,Male,2019/20,3395
01 Medicine and dentistry,First degree,All,England,Other,2019/20,5
01 Medicine and dentistry,First degree,All,England,Total,2019/20,8115
01 Medicine and dentistry,First degree,Full-time,England,Female,2019/20,4685
01 Medicine and dentistry,First degree,Full-time,England,Male,2019/20,3390
01 Medicine and dentistry,First degree,Full-time,England,Other,2019/20,5
01 Medicine and dentistry,First degree,Full-time,England,Total,2019/20,8080
01 Medicine and dentistry,First degree,Part-time,England,Female,2019/20,35
01 Medicine and dentistry,First degree,Part-time,England,Male,2019/20,5
01 Medicine and dentistry,First degree,Part-time,England,Other,2019/20,0
01 Medicine and dentistry,First degree,Part-time,England,Total,2019/20,35
01 Medicine and dentistry,First degree,All,Northern Ireland,Female,2019/20,195
01 Medicine and dentistry,First degree,All,Northern Ireland,Male,2019/20,120
01 Medicine and dentistry,First degree,All,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,First degree,All,Northern Ireland,Total,2019/20,315
01 Medicine and dentistry,First degree,Full-time,Northern Ireland,Female,2019/20,195
01 Medicine and dentistry,First degree,Full-time,Northern Ireland,Male,2019/20,115
01 Medicine and dentistry,First degree,Full-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,First degree,Full-time,Northern Ireland,Total,2019/20,310
01 Medicine and dentistry,First degree,Part-time,Northern Ireland,Female,2019/20,0
01 Medicine and dentistry,First degree,Part-time,Northern Ireland,Male,2019/20,0
01 Medicine and dentistry,First degree,Part-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,First degree,Part-time,Northern Ireland,Total,2019/20,5
01 Medicine and dentistry,First degree,All,Scotland,Female,2019/20,880
01 Medicine and dentistry,First degree,All,Scotland,Male,2019/20,550
01 Medicine and dentistry,First degree,All,Scotland,Other,2019/20,5
01 Medicine and dentistry,First degree,All,Scotland,Total,2019/20,1435
01 Medicine and dentistry,First degree,Full-time,Scotland,Female,2019/20,880
01 Medicine and dentistry,First degree,Full-time,Scotland,Male,2019/20,550
01 Medicine and dentistry,First degree,Full-time,Scotland,Other,2019/20,5
01 Medicine and dentistry,First degree,Full-time,Scotland,Total,2019/20,1435
01 Medicine and dentistry,First degree,All,Wales,Female,2019/20,380
01 Medicine and dentistry,First degree,All,Wales,Male,2019/20,195
01 Medicine and dentistry,First degree,All,Wales,Other,2019/20,0
01 Medicine and dentistry,First degree,All,Wales,Total,2019/20,575
01 Medicine and dentistry,First degree,Full-time,Wales,Female,2019/20,375
01 Medicine and dentistry,First degree,Full-time,Wales,Male,2019/20,195
01 Medicine and dentistry,First degree,Full-time,Wales,Other,2019/20,0
01 Medicine and dentistry,First degree,Full-time,Wales,Total,2019/20,570
01 Medicine and dentistry,First degree,Part-time,Wales,Female,2019/20,0
01 Medicine and dentistry,First degree,Part-time,Wales,Male,2019/20,0
01 Medicine and dentistry,First degree,Part-time,Wales,Other,2019/20,0
01 Medicine and dentistry,First degree,Part-time,Wales,Total,2019/20,5
01 Medicine and dentistry,Other undergraduate,All,All,Female,2019/20,280
01 Medicine and dentistry,Other undergraduate,All,All,Male,2019/20,85
01 Medicine and dentistry,Other undergraduate,All,All,Other,2019/20,0
01 Medicine and dentistry,Other undergraduate,All,All,Total,2019/20,365
01 Medicine and dentistry,Other undergraduate,Full-time,All,Female,2019/20,135
01 Medicine and dentistry,Other undergraduate,Full-time,All,Male,2019/20,70
01 Medicine and dentistry,Other undergraduate,Full-time,All,Other,2019/20,0
01 Medicine and dentistry,Other undergraduate,Full-time,All,Total,2019/20,205
01 Medicine and dentistry,Other undergraduate,Part-time,All,Female,2019/20,145
01 Medicine and dentistry,Other undergraduate,Part-time,All,Male,2019/20,15
01 Medicine and dentistry,Other undergraduate,Part-time,All,Other,2019/20,0
01 Medicine and dentistry,Other undergraduate,Part-time,All,Total,2019/20,160
01 Medicine and dentistry,Other undergraduate,All,England,Female,2019/20,250
01 Medicine and dentistry,Other undergraduate,All,England,Male,2019/20,60
01 Medicine and dentistry,Other undergraduate,All,England,Other,2019/20,0
01 Medicine and dentistry,Other undergraduate,All,England,Total,2019/20,310
01 Medicine and dentistry,Other undergraduate,Full-time,England,Female,2019/20,100
01 Medicine and dentistry,Other undergraduate,Full-time,England,Male,2019/20,45
01 Medicine and dentistry,Other undergraduate,Full-time,England,Other,2019/20,0
01 Medicine and dentistry,Other undergraduate,Full-time,England,Total,2019/20,145
01 Medicine and dentistry,Other undergraduate,Part-time,England,Female,2019/20,145
01 Medicine and dentistry,Other undergraduate,Part-time,England,Male,2019/20,15
01 Medicine and dentistry,Other undergraduate,Part-time,England,Other,2019/20,0
01 Medicine and dentistry,Other undergraduate,Part-time,England,Total,2019/20,160
