,UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
982,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2015/16,Sex,Other,0
983,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,England,110
984,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Scotland,1890
985,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Wales,5
986,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Northern Ireland,90
987,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Other UK,0
988,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Total UK  ,2100
989,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Other European Union,160
990,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Non-European Union,40
991,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Total Non-UK,200
992,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2015/16,Domicile,Not known,0
993,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2015/16,Total,Total,2295
994,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2015/16,Sex,Female,90
995,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2015/16,Sex,Male,110
996,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2015/16,Sex,Other,0
997,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,England,5
998,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Scotland,155
999,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Wales,0
1000,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Northern Ireland,5
1001,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Other UK,0
1002,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Total UK  ,170
1003,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Other European Union,30
1004,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Non-European Union,0
1005,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Total Non-UK,30
1006,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2015/16,Domicile,Not known,0
1007,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2015/16,Total,Total,200
20902,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2015/16,Sex,Female,9380
20903,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2015/16,Sex,Male,5535
20904,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2015/16,Sex,Other,0
20905,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2015/16,Domicile,England,2335
20906,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2015/16,Domicile,Scotland,9390
20907,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2015/16,Domicile,Wales,85
20908,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2015/16,Domicile,Northern Ireland,690
20909,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2015/16,Domicile,Other UK,25
20910,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2015/16,Domicile,Total UK  ,12530
20911,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2015/16,Domicile,Other European Union,1025
20912,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2015/16,Domicile,Non-European Union,1355
20913,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2015/16,Domicile,Total Non-UK,2385
