,UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
911,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2016/17,Sex,Male,45
912,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2016/17,Sex,Other,0
913,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,England,0
914,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Scotland,150
915,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Wales,0
916,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Northern Ireland,0
917,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Other UK,0
918,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Total UK  ,150
919,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Other European Union,0
920,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Non-European Union,5
921,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Total Non-UK,10
922,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Not known,0
923,10007849.0,Abertay University,Scotland,Scotland,First year,All,Part-time,2016/17,Total,Total,160
966,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2016/17,Sex,Female,1105
967,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2016/17,Sex,Male,1245
968,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2016/17,Sex,Other,5
969,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2016/17,Domicile,England,80
970,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Scotland,1940
971,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Wales,0
972,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Northern Ireland,55
973,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Other UK,0
974,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Total UK  ,2075
975,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Other European Union,225
976,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Non-European Union,55
977,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Total Non-UK,280
978,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Not known,0
979,10007849.0,Abertay University,Scotland,Scotland,Other years,All,All,2016/17,Total,Total,2355
980,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2016/17,Sex,Female,990
981,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2016/17,Sex,Male,1105
982,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2016/17,Sex,Other,5
983,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,England,75
984,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Scotland,1730
985,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Wales,0
986,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Northern Ireland,50
987,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Other UK,0
988,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Total UK  ,1860
989,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Other European Union,195
990,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Non-European Union,45
991,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Total Non-UK,240
992,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Not known,0
993,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Full-time,2016/17,Total,Total,2100
994,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2016/17,Sex,Female,115
995,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2016/17,Sex,Male,140
996,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2016/17,Sex,Other,0
997,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,England,5
998,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Scotland,205
999,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Wales,0
1000,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Northern Ireland,5
1001,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Other UK,0
1002,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Total UK  ,215
1003,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Other European Union,35
